country,year,bovine_pop_1000
Ireland,2016,6613.43
Ireland,2017,6673.59
Ireland,2018,6593.49
Ireland,2019,6559.65
Ireland,2020,6529.44
Ireland,2021,6649.31
Ireland,2022,6551.83
Ireland,2023,6525.96
Ireland,2024,6308.3
Ireland,2025,6284.12
Iceland,2016,79.9
Iceland,2017,80.9
Iceland,2018,81.4
Iceland,2019,80.9
Iceland,2020,81.4
Iceland,2022,79.93
Iceland,2023,78.73
Iceland,2024,76.9
Iceland,2025,77.0
Italy,2016,6314.89
Italy,2017,6349.81
Italy,2018,6311.16
Italy,2019,6377.23
Italy,2020,6400.04
Italy,2021,6280.28
Italy,2022,6049.0
Italy,2023,5999.0
Italy,2024,5765.0
Italy,2025,5738.0
Lithuania,2016,694.8
Lithuania,2017,676.9
Lithuania,2018,653.5
Lithuania,2019,634.6
Lithuania,2020,629.5
Lithuania,2021,628.7
Lithuania,2022,641.92
Lithuania,2023,623.52
Lithuania,2024,599.77
Lithuania,2025,600.71
Luxembourg,2016,202.41
Luxembourg,2017,198.07
Luxembourg,2018,194.39
Luxembourg,2019,192.1
Luxembourg,2020,190.69
Luxembourg,2021,187.2
Luxembourg,2022,186.13
Luxembourg,2023,183.56
Luxembourg,2024,180.53
Luxembourg,2025,186.68
Latvia,2016,412.31
Latvia,2017,405.82
Latvia,2018,395.33
Latvia,2019,395.32
Latvia,2020,398.99
Latvia,2021,393.47
Latvia,2022,391.35
Latvia,2023,368.06
Latvia,2024,352.09
Latvia,2025,350.46
Montenegro,2016,89.0
Montenegro,2017,87.0
Montenegro,2018,83.3
Montenegro,2019,81.4
Montenegro,2020,77.89
Montenegro,2021,71.17
Montenegro,2022,70.77
Montenegro,2023,68.83
Montenegro,2024,67.5
Montenegro,2025,68.48
North Macedonia,2016,255.0
North Macedonia,2017,255.0
North Macedonia,2018,256.0
North Macedonia,2019,219.0
North Macedonia,2020,222.0
North Macedonia,2021,178.0
North Macedonia,2022,165.0
North Macedonia,2023,149.0
North Macedonia,2024,144.0
North Macedonia,2025,142.72
Malta,2016,14.36
Malta,2017,14.18
Malta,2018,14.12
Malta,2019,14.0
Malta,2020,14.29
Malta,2021,14.02
Malta,2022,14.2
