Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2000","2000","1000 USD","322860","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2001","2001","t","4946","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2001","2001","1000 USD","11463","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2001","2001","t","113592","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2001","2001","1000 USD","293852","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2002","2002","t","3787","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2002","2002","1000 USD","10776","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2002","2002","t","99241","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2002","2002","1000 USD","285760","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2003","2003","t","3827","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2003","2003","1000 USD","12300","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2003","2003","t","124203","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2003","2003","1000 USD","396186","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2004","2004","t","3068","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2004","2004","1000 USD","11497","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2004","2004","t","131589","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2004","2004","1000 USD","446126","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2005","2005","t","3308","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2005","2005","1000 USD","13148","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2005","2005","t","116814","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2005","2005","1000 USD","403909","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2006","2006","t","7014","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2006","2006","1000 USD","25760","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2006","2006","t","133083","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","2006","2006","1000 USD","412637","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2007","2007","t","5482","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2007","2007","1000 USD","18540","A","Official figure",""
